DATE,GAS_PROD,OIL_PROD,WATER_INJ
01.01.2020,329327.76,2301.9189,3796.9621
01.01.2021,533620.39,3699.8435,8533.0322
01.01.2022,416004.76,2837.5915,9434.1385
01.01.2023,340118.19,2280.7372,10019.154
01.01.2024,290127.01,1905.7952,10428.387
01.01.2025,253292.19,1635.7671,10725.254
01.01.2026,223584.53,1426.9726,10954.338
01.01.2027,198453.07,1249.781,11153.675
01.01.2028,177306.77,1099.8572,11318.01
01.01.2029,159723.78,977.37529,11450.614
01.01.2030,145056.33,875.30836,11561.335
01.01.2031,132577.75,788.45521,11654.645
01.01.2032,122166.68,715.64707,11734.129
01.01.2033,113070.74,653.71407,11802.565
01.01.2034,105114.67,600.04874,11860.717
01.01.2035,98147.958,553.56297,11910.283
