SPEED,RATE,HEAD,EFFICIENCY
7689,2900.0666,8412.9156,0.723
7689,3503.8068,7996.2541,0.7469
7689,4002.5554,7363.8161,0.7449
7689,4595.0148,6127.1702,0.7015
8787,3305.5723,10950.9557,0.7241
8787,4000.1546,10393.3867,0.7449
8787,4499.2342,9707.491,0.7464
8787,4996.8728,8593.8586,0.722
8787,5241.9892,7974.6002,0.7007
9886,3708.8713,13845.3808,0.723
9886,4502.2531,13182.6922,0.7473
9886,4993.5959,12425.3699,0.748
9886,5507.8114,11276.3984,0.7306
9886,5924.3308,10054.3539,0.704
10435,3928.0389,15435.484,0.7232
10435,4507.4654,14982.7351,0.7437
10435,5002.1249,14350.2222,0.7453
10435,5498.9912,13361.3245,0.7414
10435,6248.5937,11183.0276,0.701
10984,4138.6974,17078.8952,0.7226
10984,5002.4758,16274.9249,0.7462
10984,5494.3704,15428.5063,0.7468
10984,6008.6962,14261.7156,0.7349
10984,6560.148,12382.7538,0.7023
11533,4327.9175,18882.3055,0.7254
11533,4998.517,18235.1912,0.7444
11533,5505.8851,17531.6259,0.745
11533,6027.6167,16489.7195,0.7466
11533,6506.9064,15037.1474,0.7266
11533,6908.2832,13618.7919,0.7019
10767,4052.9057,16447,0.724
10767,4500.6637,16081,0.738
10767,4999.41,15546,0.7479
10767,5492.822,14640,0.74766
10767,6000.6263,13454,0.7298
10767,6439.4876,11973,0.7014
